court,category,count,type,region,year,female_combined,male_combined,total_combined
Ошский г/суд,male,5.0,victim,,2022,,,
Кара-Сууйский р/суд,male,0.0,victim,,2022,,,
Узгенский р/суд,male,0.0,victim,,2022,,,
Ноокатский р/суд,male,4.0,victim,,2022,,,
Араванский р/суд,male,0.0,victim,,2022,,,
Алайский р/суд,male,0.0,victim,,2022,,,
Чон-Алайский р/суд,male,1.0,victim,,2022,,,
Жалал-Абадский г/суд,male,0.0,victim,,2022,,,
Сузакский р/суд,male,0.0,victim,,2022,,,
Ноокенский р/суд,male,2.0,victim,,2022,,,
Токтогульский р/суд,male,1.0,victim,,2022,,,
Базаркоргонский р/суд,male,2.0,victim,,2022,,,
Ташкумырский г/суд,male,0.0,victim,,2022,,,
Аксыйский р/суд,male,0.0,victim,,2022,,,
Майлуусуйский г/суд,male,0.0,victim,,2022,,,
Чаткальский р/суд,male,1.0,victim,,2022,,,
Кара-Кульский г/суд,male,1.0,victim,,2022,,,
Тогу-Тороузский р/суд,male,0.0,victim,,2022,,,
Ала-Букинский р/суд,male,4.0,victim,,2022,,,
Нарынский г/суд,male,8.0,victim,,2022,,,
Кочкорский р/суд,male,6.0,victim,,2022,,,
Жумгальский р/суд,male,3.0,victim,,2022,,,
Ат-Башинский р/суд,male,5.0,victim,,2022,,,
Акталинский р/суд,male,2.0,victim,,2022,,,
Нарынский р/суд,male,0.0,victim,,2022,,,
Таласский г/суд,male,2.0,victim,,2022,,,
Таласский р/суд,male,3.0,victim,,2022,,,
Бакай-Атинский р/суд,male,2.0,victim,,2022,,,
Айтматовский р/суд,male,6.0,victim,,2022,,,
Манасский р/суд,male,5.0,victim,,2022,,,
Кадамжайский р/суд,male,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,male,1.0,victim,,2022,,,
Лейлекский р/суд,male,1.0,victim,,2022,,,
Баткенский р/суд,male,0.0,victim,,2022,,,
Сулюктинский р/суд,male,1.0,victim,,2022,,,
Итого ,male,167.0,victim,,2022,,,
Свердловский р/суд,female,358.0,victim,,2022,,,
Аламудунский р/суд,female,44.0,victim,,2022,,,
Сокулукский р/суд,female,77.0,victim,,2022,,,
Жайылский р/суд,female,68.0,victim,,2022,,,
Чуйский р/суд,female,25.0,victim,,2022,,,
Московский р/суд,female,62.0,victim,,2022,,,
Иссык-Атинский р/суд,female,107.0,victim,,2022,,,
Кеминский р/суд,female,45.0,victim,,2022,,,
Панфиловский р/суд,female,42.0,victim,,2022,,,
Токмокский г/суд,female,28.0,victim,,2022,,,
Ак-Сууйский р/суд,female,23.0,victim,,2022,,,
Иссык-Кульский р/суд,female,107.0,victim,,2022,,,
Жети-Огузский р/суд,female,72.0,victim,,2022,,,
Каракольский г/суд,female,57.0,victim,,2022,,,
Балыкчинский г/суд,female,62.0,victim,,2022,,,
Тонский р/суд,female,37.0,victim,,2022,,,
Тюпский р/суд,female,68.0,victim,,2022,,,
Ошский г/суд,female,107.0,victim,,2022,,,
Кара-Сууйский р/суд,female,55.0,victim,,2022,,,
Узгенский р/суд,female,13.0,victim,,2022,,,
Ноокатский р/суд,female,35.0,victim,,2022,,,
Араванский р/суд,female,1.0,victim,,2022,,,
Алайский р/суд,female,6.0,victim,,2022,,,
Чон-Алайский р/суд,female,8.0,victim,,2022,,,
Жалал-Абадский г/суд,female,17.0,victim,,2022,,,
Сузакский р/суд,female,21.0,victim,,2022,,,
Ноокенский р/суд,female,18.0,victim,,2022,,,
Токтогульский р/суд,female,23.0,victim,,2022,,,
Базаркоргонский р/суд,female,20.0,victim,,2022,,,
Ташкумырский г/суд,female,9.0,victim,,2022,,,
Аксыйский р/суд,female,3.0,victim,,2022,,,
Майлуусуйский г/суд,female,13.0,victim,,2022,,,
Чаткальский р/суд,female,1.0,victim,,2022,,,
Кара-Кульский г/суд,female,20.0,victim,,2022,,,
Тогу-Тороузский р/суд,female,21.0,victim,,2022,,,
Ала-Букинский р/суд,female,11.0,victim,,2022,,,
Нарынский г/суд,female,59.0,victim,,2022,,,
Кочкорский р/суд,female,92.0,victim,,2022,,,
Жумгальский р/суд,female,53.0,victim,,2022,,,
Ат-Башинский р/суд,female,45.0,victim,,2022,,,
Акталинский р/суд,female,26.0,victim,,2022,,,
Нарынский р/суд,female,31.0,victim,,2022,,,
Таласский г/суд,female,47.0,victim,,2022,,,
Таласский р/суд,female,35.0,victim,,2022,,,
Бакай-Атинский р/суд,female,35.0,victim,,2022,,,
Айтматовский р/суд,female,41.0,victim,,2022,,,
Манасский р/суд,female,32.0,victim,,2022,,,
Кадамжайский р/суд,female,51.0,victim,,2022,,,
Кызыл-Кийский р/суд,female,30.0,victim,,2022,,,
Лейлекский р/суд,female,35.0,victim,,2022,,,
Баткенский р/суд,female,48.0,victim,,2022,,,
Сулюктинский р/суд,female,20.0,victim,,2022,,,
Итого ,female,3648.0,victim,,2022,,,
Свердловский р/суд,boy,0.0,victim,,2022,,,
Аламудунский р/суд,boy,0.0,victim,,2022,,,
Сокулукский р/суд,boy,0.0,victim,,2022,,,
Жайылский р/суд,boy,0.0,victim,,2022,,,
Чуйский р/суд,boy,0.0,victim,,2022,,,
Московский р/суд,boy,0.0,victim,,2022,,,
Иссык-Атинский р/суд,boy,0.0,victim,,2022,,,
Кеминский р/суд,boy,0.0,victim,,2022,,,
Панфиловский р/суд,boy,0.0,victim,,2022,,,
Токмокский г/суд,boy,0.0,victim,,2022,,,
Ак-Сууйский р/суд,boy,0.0,victim,,2022,,,
Иссык-Кульский р/суд,boy,0.0,victim,,2022,,,
Жети-Огузский р/суд,boy,0.0,victim,,2022,,,
Каракольский г/суд,boy,1.0,victim,,2022,,,
Балыкчинский г/суд,boy,0.0,victim,,2022,,,
Тонский р/суд,boy,0.0,victim,,2022,,,
Тюпский р/суд,boy,0.0,victim,,2022,,,
Ошский г/суд,boy,0.0,victim,,2022,,,
Кара-Сууйский р/суд,boy,0.0,victim,,2022,,,
Узгенский р/суд,boy,0.0,victim,,2022,,,
Ноокатский р/суд,boy,1.0,victim,,2022,,,
Араванский р/суд,boy,0.0,victim,,2022,,,
Алайский р/суд,boy,0.0,victim,,2022,,,
Чон-Алайский р/суд,boy,1.0,victim,,2022,,,
Жалал-Абадский г/суд,boy,0.0,victim,,2022,,,
Сузакский р/суд,boy,0.0,victim,,2022,,,
Ноокенский р/суд,boy,2.0,victim,,2022,,,
Токтогульский р/суд,boy,0.0,victim,,2022,,,
Базаркоргонский р/суд,boy,2.0,victim,,2022,,,
Ташкумырский г/суд,boy,0.0,victim,,2022,,,
Аксыйский р/суд,boy,0.0,victim,,2022,,,
Майлуусуйский г/суд,boy,0.0,victim,,2022,,,
Чаткальский р/суд,boy,0.0,victim,,2022,,,
Кара-Кульский г/суд,boy,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,boy,0.0,victim,,2022,,,
Ала-Букинский р/суд,boy,0.0,victim,,2022,,,
Нарынский г/суд,boy,1.0,victim,,2022,,,
Кочкорский р/суд,boy,3.0,victim,,2022,,,
Жумгальский р/суд,boy,0.0,victim,,2022,,,
Ат-Башинский р/суд,boy,1.0,victim,,2022,,,
Акталинский р/суд,boy,0.0,victim,,2022,,,
Нарынский р/суд,boy,0.0,victim,,2022,,,
Таласский г/суд,boy,1.0,victim,,2022,,,
Таласский р/суд,boy,0.0,victim,,2022,,,
Бакай-Атинский р/суд,boy,0.0,victim,,2022,,,
Айтматовский р/суд,boy,0.0,victim,,2022,,,
Манасский р/суд,boy,1.0,victim,,2022,,,
Кадамжайский р/суд,boy,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,boy,1.0,victim,,2022,,,
Лейлекский р/суд,boy,0.0,victim,,2022,,,
Баткенский р/суд,boy,0.0,victim,,2022,,,
Сулюктинский р/суд,boy,0.0,victim,,2022,,,
Итого ,boy,15.0,victim,,2022,,,
Свердловский р/суд,girl,0.0,victim,,2022,,,
Аламудунский р/суд,girl,0.0,victim,,2022,,,
Сокулукский р/суд,girl,0.0,victim,,2022,,,
Жайылский р/суд,girl,0.0,victim,,2022,,,
Чуйский р/суд,girl,0.0,victim,,2022,,,
Московский р/суд,girl,0.0,victim,,2022,,,
Иссык-Атинский р/суд,girl,1.0,victim,,2022,,,
Кеминский р/суд,girl,0.0,victim,,2022,,,
Панфиловский р/суд,girl,0.0,victim,,2022,,,
Токмокский г/суд,girl,0.0,victim,,2022,,,
Ак-Сууйский р/суд,girl,0.0,victim,,2022,,,
Иссык-Кульский р/суд,girl,1.0,victim,,2022,,,
Жети-Огузский р/суд,girl,0.0,victim,,2022,,,
Каракольский г/суд,girl,0.0,victim,,2022,,,
Балыкчинский г/суд,girl,0.0,victim,,2022,,,
Тонский р/суд,girl,0.0,victim,,2022,,,
Тюпский р/суд,girl,0.0,victim,,2022,,,
Ошский г/суд,girl,0.0,victim,,2022,,,
Кара-Сууйский р/суд,girl,0.0,victim,,2022,,,
Узгенский р/суд,girl,0.0,victim,,2022,,,
Ноокатский р/суд,girl,1.0,victim,,2022,,,
Араванский р/суд,girl,0.0,victim,,2022,,,
Алайский р/суд,girl,0.0,victim,,2022,,,
Чон-Алайский р/суд,girl,0.0,victim,,2022,,,
Жалал-Абадский г/суд,girl,1.0,victim,,2022,,,
Сузакский р/суд,girl,0.0,victim,,2022,,,
Ноокенский р/суд,girl,0.0,victim,,2022,,,
Токтогульский р/суд,girl,0.0,victim,,2022,,,
Базаркоргонский р/суд,girl,1.0,victim,,2022,,,
Ташкумырский г/суд,girl,0.0,victim,,2022,,,
Аксыйский р/суд,girl,0.0,victim,,2022,,,
Майлуусуйский г/суд,girl,0.0,victim,,2022,,,
Чаткальский р/суд,girl,0.0,victim,,2022,,,
Кара-Кульский г/суд,girl,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,girl,0.0,victim,,2022,,,
Ала-Букинский р/суд,girl,0.0,victim,,2022,,,
Нарынский г/суд,girl,1.0,victim,,2022,,,
Кочкорский р/суд,girl,4.0,victim,,2022,,,
Жумгальский р/суд,girl,2.0,victim,,2022,,,
Ат-Башинский р/суд,girl,0.0,victim,,2022,,,
